[INFO] corr=d3cca4e8-2205-4b34-81d5-b9b42fa0414d | Booked Red Hawks vs Blue Bears at National Stadium | expected=18000 | ticket=20.00 | revenue=360000.00
[INFO] corr=08896b29-463e-4295-8e82-e2efa6b5cfca | Booked No description at National Stadium | expected=18000 | ticket=10.00 | revenue=180000.00
[LOW] corr=4a1e51d3-d68f-472b-bb89-05c0f09e9fb8 | Booked Red Hawks vs Blue Bears at National Stadium | expected=18000 | ticket=20.00 | revenue=360000.00
[LOW] corr=e4dbcc82-d227-41cd 61-8dc3-d1f2e26262bd | Booked No description at National Stadium | expected=18000 | ticket=10.00 | revenue=180000.00
[LOW] corr=7df0df86-a56e-46f6-8924-9f98e44d2cd8 | Booked Red Hawks vs Blue Bears at National Stadium | expected=18000 | ticket=20.00 | revenue=360000.00
[LOW] corr=e0bd9066-379e-4b78-9b3f-ebdba546d947 | Booked No description at National Stadium | expected=18000 | ticket=10.00 | revenue=180000.00
[LOW] corr=3727331e-945e-40e8-89fd-beb2da034c40 | Booked Red Hawks vs Blue Bears at National Stadium | expected=18000 | ticket=20.00 | revenue=360000.00
[LOW] corr=38a85c67-1d37-44e9-b3bc-1c2444a8a8a2 | Booked No description at National Stadium | expected=18000 | ticket=10.00 | revenue=180000.00
[LOW] corr=ab3e32ac-9d4a-4153-9e2c-917345799cd5 | Booked Red Hawks vs Blue Bears at National Stadium | expected=18000 | ticket=20.00 | revenue=360000.00
[LOW] corr=c2e74589-0a3f-4c05-bcd7-caf136957719 | Booked No description at National Stadium | expected=18000 | ticket=10.00 | revenue=180000.00
[LOW] corr=39473ac4-659e-438e-82fd-d8c2fb9ad2e3 | Booked Red Hawks vs Blue Bears at National Stadium | expected=18000 | ticket=20.00 | revenue=360000.00
[LOW] corr=68150c2b-b773-496d-ac3e-c348db65449a | Booked No description at National Stadium | expected=18000 | ticket=10.00 | revenue=180000.00
[LOW] corr=6a1e0a73-e346-4a49-be5c-b00c101b3558 | Booked Red Hawks vs Blue Bears at National Stadium | expected=18000 | ticket=20.00 | revenue=360000.00
[LOW] corr=7bd15e29-10a1-429c-951b-1f078b8226e0 | Booked No description at National Stadium | expected=18000 | ticket=10.00 | revenue=180000.00
[LOW] corr=6b725084-c367-4509-8b5d-37d172193122 | Booked Red Hawks vs Blue Bears at National Stadium | expected=18000 | ticket=20.00 | revenue=360000.00
[LOW] corr=ab44501d-b3e2-4e71-bfaa-39de7fb154f2 | Booked No description at National Stadium | expected=18000 | ticket=10.00 | revenue=180000.00
[LOW] corr=fc3527b8-39d8-41e8-9db3-7bb79d4a2780 | Booked Red Hawks vs Blue Bears at National Stadium | expected=18000 | ticket=20.00 | revenue=360000.00
[LOW] corr=cf6dbc8c-88d0-4c28-9da1-059310431e9c | Booked No description at National Stadium | expected=18000 | ticket=10.00 | revenue=180000.00
[LOW] corr=669bd41d-d6df-4804-b57e-49b70bea3a62 | Booked Red Hawks vs Blue Bears at National Stadium | expected=18000 | ticket=20.00 | revenue=360000.00
[LOW] corr=fd61e341-cddb-41b9-aa1f-d1e70dc1e5fd | Booked No description at National Stadium | expected=18000 | ticket=10.00 | revenue=180000.00
[LOW] corr=3d676206-5086-4403-94e4-f8022cfadbcf | Booked Red Hawks vs Blue Bears at National Stadium | expected=18000 | ticket=20.00 | revenue=360000.00
[LOW] corr=c10a0e5d-94f8-4f85-bd17-2933317eee87 | Booked No description at National Stadium | expected=18000 | ticket=10.00 | revenue=180000.00
[LOW] corr=0b1f0ffd-2c0d-49fd-8b46-b5544dda00dd | Booked Red Hawks vs Blue Bears at National Stadium | expected=18000 | ticket=20.00 | revenue=360000.00
[LOW] corr=33cd5f14-acce-4c6c-9047-51fb26ebc713 | Booked No description at National Stadium | expected=18000 | ticket=10.00 | revenue=180000.00
[LOW] corr=288c6006-1321-4a4c-941b-fb1adfac5b44 | Booked Red Hawks vs Blue Bears at National Stadium | expected=18000 | ticket=20.00 | revenue=360000.00
[LOW] corr=260dbc26-bc3b-46e9-b0db-a1ea11abfc11 | Booked No description at National Stadium | expected=18000 | ticket=10.00 | revenue=180000.00
[LOW] corr=f71bf428-af8d-46d5-b0d7-8969c5ada9d5 | Booked Red Hawks vs Blue Bears at National Stadium | expected=18000 | ticket=20.00 | revenue=360000.00
[LOW] corr=96a30c90-cab1-4499-a96c-8ee26559ee48 | Booked No description at National Stadium | expected=18000 | ticket=10.00 | revenue=180000.00
